UPRIGHT,SPAN,GBHX 75 x 1.5,GBHX 85 x 1.5,GBHX 100 x 1.5,GBHX 110 x 1.5,GBHX 125 x 1.5,GBHX 135 x 1.5,GBHX 150 x 1.5,GBHX 175 x 1.5,HEM+ 70 x 1.2,HEM+ 70 x 1.4,HEM+ 85 x 1.2,HEM+ 85 x 1.4,HEM+ 105 x 1.2,HEM+ 105 x 1.4,HEM+ 115 x 1.2,HEM+ 115 x 1.4,HEM+ 125 x 1.2,HEM+ 125 x 1.4
GXL 90-2.0,2150,1896,2764,3191,3604,4000,4000,4000,4000,869,1084,1161,1721,1516,2262,1782,2587,2002,3072
GXL 90-2.0,2200,1823,2676,3127,3530,4000,4000,4000,4000,848,1043,1133,1673,1480,2210,1740,2534,1955,2947
GXL 90-2.0,2250,1753,2575,3066,3460,3998,4000,4000,4000,828,1005,1106,1611,1445,2161,1700,2480,1909,2888
GXL 90-2.0,2300,1688,2480,3008,3393,3919,4000,4000,4000,809,969,1081,1552,1411,2114,1661,2426,1866,2832
GXL 90-2.0,2350,1627,2390,2952,3328,3843,4000,4000,4000,790,935,1057,1497,1379,2069,1624,2374,1824,2778
GXL 90-2.0,2400,1569,2306,2899,3267,3770,4000,4000,4000,772,903,1033,1445,1348,2025,1589,2324,1784,2723
GXL 90-2.0,2450,1514,2226,2843,3207,3700,4000,4000,4000,755,873,1010,1396,1319,1984,1555,2277,1746,2668
GXL 90-2.0,2500,1462,2151,2784,3151,3633,4000,4000,4000,738,844,989,1350,1290,1943,1522,2231,1709,2614
GXL 90-2.0,2550,1413,2079,2689,3092,3568,4000,4000,4000,721,817,968,1305,1263,1905,1490,2187,1674,2563
GXL 90-2.0,2600,1367,2011,2599,3033,3506,4000,4000,4000,699,791,947,1264,1237,1851,1460,2145,1640,2514
GXL 90-2.0,2650,1323,1947,2514,2976,3442,3987,4000,4000,678,767,928,1224,1211,1790,1431,2104,1607,2466
GXL 90-2.0,2700,1281,1886,2434,2921,3378,3911,4001,4000,657,744,909,1186,1187,1732,1402,2065,1575,2421
GXL 90-2.0,2750,1241,1828,2357,2868,3315,3838,4000,4000,638,722,891,1150,1163,1678,1375,2027,1544,2376
GXL 90-2.0,2800,1203,1773,2284,2817,3255,3767,4000,4000,620,700,873,1116,1140,1626,1349,1990,1515,2376
GXL 90-2.0,2850,1167,1720,2215,2767,3197,3698,4000,4000,602,680,856,1084,1118,1576,1323,1943,1486,2292
GXL 90-2.0,2900,1133,1670,2149,2720,3141,3632,4000,4000,585,661,839,1053,1097,1529,1299,1884,1459,2252
GXL 90-2.0,2950,1100,1622,2086,2656,3087,3568,3930,4000,569,643,823,1023,1077,1484,1275,1828,1432,2214
GXL 90-2.0,3000,1069,1577,2026,2579,3034,3506,3862,4000,554,625,808,995,1057,1441,1252,1775,1406,2171
GXL 90-2.0,3050,1039,1533,1969,2504,2984,3446,3797,4000,539,608,793,968,1037,1400,1230,1724,1381,2109
GXL 90-2.0,3100,1011,1491,1914,2434,2934,3388,3733,4000,525,592,778,942,1018,1361,1208,1676,1357,2049
GXL 90-2.0,3150,983,1452,1861,2366,2887,3332,3672,4000,512,577,764,917,1000,1323,1187,1630,1333,1992
GXL 90-2.0,3200,957,1413,1811,2301,2838,3278,3612,4000,499,562,744,893,983,1288,1167,1585,1311,1937
GXL 90-2.0,3250,932,1377,1763,2239,2760,3225,3554,4000,487,548,725,871,966,1253,1147,1543,1289,1885
GXL 90-2.0,3300,908,1342,1717,2180,2686,3174,3498,4000,475,535,707,849,949,1220,1128,1502,1267,1835
GXL 90-2.0,3350,885,1308,1673,2123,2614,3124,3443,4000,463,522,690,828,933,1189,1109,1463,1246,1787
GXL 90-2.0,3400,863,1276,1630,2068,2546,3076,3390,4000,452,509,673,808,917,1159,1091,1426,1226,1741
GXL 90-2.0,3450,842,1245,1590,2016,2480,3016,3339,4000,442,497,657,788,902,1130,1073,1390,1206,1741
GXL 90-2.0,3500,822,1215,1551,1965,2417,2938,3289,4000,432,486,642,770,887,1102,1056,1355,1187,1655
GXL 90-2.0,3550,802,1186,1513,1917,2357,2864,3240,4000,422,475,627,752,873,1075,1039,1322,1168,1614
GXL 90-2.0,3600,783,1158,1477,1871,2298,2792,3193,3969,413,464,613,735,858,1049,1023,1290,1150,1575
GXL 90-2.0,3650,765,1132,1442,1826,2243,2724,3147,3912,404,454,599,718,845,1024,1007,1259,1132,1537
GXL 90-2.0,3700,748,1106,1409,1783,2189,2657,3102,3856,395,444,586,702,831,1001,992,1230,1115,1501
GXL 90-2.0,3750,731,1081,1377,1741,2137,2594,3059,3801,386,434,573,687,818,978,977,1201,1098,1466
GXL 90-2.0,3800,715,1058,1345,1701,2087,2532,3016,3748,378,434,560,672,806,955,962,1174,1082,1432
GXL 90-2.0,3850,699,1035,1316,1663,2039,2473,2975,3697,370,416,549,658,793,934,948,1148,1066,1400
GXL 90-2.0,3900,684,1013,1287,1626,1993,2416,2920,3646,363,407,537,644,777,914,933,1122,1050,1368
GXL 90-2.0,3950,669,991,1259,1590,1948,2361,2853,3597,355,399,526,630,760,894,920,1098,1035,1338
GXL 90-2.0,4000,655,970,1232,1555,1905,2308,2789,3549,348,391,515,617,743,874,906,1074,1020,1309
GXL 110-1.8,1000,4000,4000,4000,4000,4000,4000,4000,4000,1922,2720,2522,3699,3258,4000,3774,4000,4000,4000
GXL 110-1.8,1050,4000,4000,4000,4000,4000,4000,4000,4000,1836,2591,2416,3524,3114,4000,3608,4000,4000,4000
GXL 110-1.8,1100,3941,4000,4000,4000,4000,4000,4000,4000,1755,2473,2320,3364,2982,4000,3457,4000,3868,4000
GXL 110-1.8,1150,3782,4000,4000,4000,4000,4000,4000,4000,1681,2365,2232,3218,2862,4000,3319,4000,3712,4000
GXL 110-1.8,1200,3636,4000,4000,4000,4000,4000,4000,4000,1613,2267,2144,3084,2752,3931,3193,4000,3569,4000
GXL 110-1.8,1250,3501,4000,4000,4000,4000,4000,4000,4000,1550,2165,2060,2960,2651,3787,3077,4000,3437,4000
GXL 110-1.8,1300,3377,4000,4000,4000,4000,4000,4000,4000,1492,2058,1982,2846,2557,3655,2969,4000,3315,4000
GXL 110-1.8,1350,3263,4000,4000,4000,4000,4000,4000,4000,1438,1959,1910,2741,2471,3532,2870,3998,3202,4000
GXL 110-1.8,1400,3156,3966,4000,4000,4000,4000,4000,4000,1388,1867,1843,2643,2390,3418,2778,3868,3097,4000
GXL 110-1.8,1450,3056,3843,4000,4000,4000,4000,4000,4000,1341,1781,1780,2552,2315,3312,2691,3746,3000,4000
GXL 110-1.8,1500,2964,3728,4000,4000,4000,4000,4000,4000,1297,1702,1721,2467,2239,3213,2611,3633,2909,4000
GXL 110-1.8,1550,2877,3620,4000,4000,4000,4000,4000,4000,1255,1628,1666,2387,2166,3120,2533,3526,2823,4000
GXL 110-1.8,1600,2795,3520,4000,4000,4000,4000,4000,4000,1216,1558,1614,2313,2097,3033,2454,3427,2743,3991
GXL 110-1.8,1650,2719,3425,4000,4000,4000,4000,4000,4000,1180,1494,1566,2243,2032,2951,2379,3333,2668,3881
GXL 110-1.8,1700,2647,3336,3908,4000,4000,4000,4000,4000,1145,1434,1520,2177,1971,2874,2309,3245,2590,3778
